# Event number 	 W pT  	 | Delta eta j1,j2 | 	 Delta R j1,j2 	 m j1, j2 	 N of jets	 j1 pT 	 j2 pT 	 Centrality 	 | Delta Phi l1, l2 | 	 m l1, l2 	 Empty 	 | Delta eta l1,l2 | 	 mET (scalar) 	 mET phi 	 dijet min distance 	 Zeppenfeld Var 	 Cos |tot phi| 	 Cos | deltaphi(j1+j2,l1+l2) | 	 Empty 	 Weight

9731117615014653531	58.7441	2.55911	3.46532	956.584	3	286.942	220.447	1.16885	3.97158	54.1074	0	0.127368	850.451	4.70609	1.38979	0.873225	0.0135053	-0.920379	0	0.262863
17499572975700952769	44.6634	5.2364	5.7464	623.934	2	47.0378	43.6595	1.13517	5.47508	79.7569	0	1.94888	185.845	3.6899	2.20949	0.928931	-0.872765	-0.688247	0	0.00752854
8791156105463684685	103.207	5.29613	6.10146	912.22	2	84.7104	48.7166	-0.126397	4.55428	50.5278	0	0.521519	252.61	2.29935	0.508363	2.99112	-0.426894	0.341606	0	0.0106302
15063008320436184641	143.901	4.47721	4.95394	783.808	2	83.0086	82.9771	-0.569442	1.84924	55.2654	0	0.608176	380.575	1.4426	2.16466	2.85082	-0.227391	-0.638646	0	0.062198
2414346619163165474	193.373	3.02064	4.17555	851.893	4	264.935	121.724	1.18608	4.84445	82.1022	0	0.456177	741.44	5.0286	1.83678	0.15327	0.452572	-0.817735	0	0.0150611
15616789463021980408	94.3151	6.19524	6.73816	1318.02	3	65.7402	53.6753	1.02579	1.9217	94.7311	0	2.1121	363.445	4.96484	1.34508	1.79523	0.99866	0.950129	0	0.00387961
9109248542623007935	596.779	3.29576	3.81006	1643.94	5	416.125	233.319	-2.20526	0.779653	32.6927	0	0.324132	1136.98	0.650752	2.82264	3.73153	-0.0972877	-0.95327	0	0.0075056
276661183769715630	28.4076	3.80394	4.17126	923.146	6	154.651	121.754	0.587295	2.59974	150.147	0	1.79857	889.193	0.100054	0.799428	0.418402	-0.932068	-0.785368	0	0.0936978
13219546363372469749	114.875	5.00176	5.36532	1050.13	4	107.573	68.4437	0.447251	1.17255	82.6614	0	1.59368	483.195	0.102336	1.91029	1.63832	-0.469184	-0.906921	0	5.91195e-09
642206436929886432	104.899	4.41462	5.37276	1275.78	3	158.749	120.323	-1.84965	1.48081	133.923	0	0.78747	684.662	1.44046	1.31346	4.03356	0.802741	-0.111122	0	7.68523e-08
15257323142177656818	674.782	4.07452	4.51572	1513.49	3	403.325	95.0665	0.765991	0.398816	98.6485	0	1.27707	865.438	0.911464	1.27182	0.135898	-0.421364	-0.999692	0	0.0762884
9843039463507131862	226.122	2.6218	3.45225	1338.01	4	478.318	247.738	0.241508	3.74194	113.472	0	0.587181	1290.03	0.735279	1.44268	1.382	-0.492655	-0.525611	0	3.18507
9144262627154473803	201.489	4.27731	4.86427	844.141	2	228.782	42.2613	-1.06659	1.7358	158.579	0	2.4212	622.761	2.11365	2.39922	2.70186	-0.283927	-0.99926	0	0.736283
14014017045750929918	103.69	3.10797	4.3668	580.576	2	180.555	76.2604	-1.16423	0.349487	27.4631	0	0.515528	463.727	4.18899	2.81743	2.48925	0.789359	-0.986931	0	0.00187296
13104632705657745924	365.069	2.8955	3.46451	583.426	3	215.895	81.8605	-0.547799	1.49873	91.0956	0	1.69833	573.59	0.823363	1.96048	0.474133	-0.231989	-0.831177	0	0.00516598
1063079132234241305	713.957	2.89629	2.89306	652.243	3	354.243	74.1924	0.795267	0.850839	64.7613	0	1.02232	645.569	4.03264	2.58273	0.000436799	-0.473321	-0.994814	0	0.20145
8431339598072038867	326.062	2.98881	3.59791	662.646	6	173.917	121.034	-1.09918	5.36101	73.5893	0	0.513909	792.581	0.124075	2.3956	2.21965	0.997616	-0.9887	0	0.0117385
6200953350460508518	285.237	3.88943	3.896	903.935	2	133.025	129.729	0.469252	1.44807	184.209	0	0.697648	609.736	0.364537	2.25481	0.780597	0.507361	-0.997755	0	0.00892579
2141837156024189914	248.92	2.6893	3.46372	694.102	4	201.705	147.769	-0.363141	1.60176	163.938	0	0.716863	911.14	3.03575	1.75753	0.953679	0.827888	-0.89449	0	0.000345115
104349545464972121	191.092	3.66766	4.01285	1310.8	5	234.039	186.443	1.59292	1.46249	112.841	0	0.136023	882.75	1.11617	2.34513	0.0520821	-0.890198	-0.999495	0	0.629431
1799868748715704995	224.547	3.82719	4.52775	1044.22	3	163.261	140.542	0.0948392	4.77146	60.692	0	0.959838	494.445	5.99304	1.25117	1.53391	0.949953	-0.99986	0	0.0167185
18404222695092644787	191.468	2.68866	4.00486	740.088	4	181.029	180.166	0.932348	3.79477	115.111	0	0.0447996	716.698	5.0459	0.935753	0.0820344	-0.426095	-0.998543	0	1.17713
14669696430419764940	1906.61	3.23419	3.81391	1056.36	2	1060.08	39.9006	-0.321132	5.83042	38.369	0	0.0262826	1377.7	0.288112	2.76658	1.92751	0.823643	-0.999926	0	9.57802e-06
9273265086453780918	131.555	3.81948	4.83048	704.513	3	174.34	59.6507	0.559227	3.06832	129.29	0	0.129257	527.181	5.14331	1.42272	0.320007	-0.840642	0.0441227	0	0.945599
3269367440355582845	334.175	3.28708	3.5631	656.462	4	171.264	94.986	1.1809	2.17471	102.439	0	0.409755	650.163	3.26101	1.69863	0.121259	0.975947	-0.914296	0	0.000744516
5167823527272776256	68.5261	3.43133	4.43566	563.191	2	133.28	70.7214	0.305292	1.67148	51.7516	0	0.0935427	436.456	0.369933	2.10538	1.20718	0.655307	-0.999845	0	0.632332
6845724905206234523	19.2673	5.10643	5.71112	535.675	2	41.7391	41.1857	0.323328	4.19098	148.817	0	2.26518	273.802	3.99701	2.64031	1.64142	-0.247161	-0.813716	0	0.000300773
12597532269061953169	42.2215	3.37242	4.57318	1104.32	4	243.772	160.283	-0.0342568	5.36662	34.4061	0	0.472033	673.57	2.64353	0.576017	1.47394	-0.577334	0.624484	0	1.85219e-09
2147193065282961563	361.54	4.67748	5.12838	1013.8	4	131.773	71.625	2.0012	0.189117	37.9945	0	0.645772	552.281	0.829155	2.70616	0.188176	-0.465479	-0.967696	0	6.79426e-05
14915327936651219320	164.469	3.2583	4.4282	1279.56	2	322.442	180.973	0.285826	0.825912	71.2335	0	0.641712	781.893	4.58727	0.55875	0.906015	-0.0517951	-0.989924	0	0.00130992
6394111699317909566	56.5062	3.89422	4.77497	1015.88	3	185.418	108.861	-0.740389	1.58778	239.567	0	3.05328	686.761	4.95501	0.876963	1.77598	0.453425	-0.735953	0	-7.83945e-09
6036896184030635827	223.834	5.25365	5.77504	2787.35	2	297.284	135.565	1.75472	1.33127	180.031	0	0.550564	960.096	0.912381	2.90152	0.79908	-0.98643	-0.997278	0	2.42757
13631196907493063126	1213.05	2.46394	2.89705	761.787	3	625.36	78.8762	-1.41203	0.576426	44.1024	0	0.376845	997.667	5.40571	3.1073	2.36057	-0.284229	-0.999374	0	5.77665e-05
13275371883006794967	134.908	4.86704	4.91196	514.832	2	65.0659	31.4355	0.739579	3.08911	175.714	0	1.14878	538.229	0.0949374	0.992102	0.344532	0.813695	-0.99996	0	1.22107e-05
